build_date,analysis_start_date,analysis_end_date,execution_date,execution_price_status,method,lookback_years,invest_ratio,cash_reserve,symbol,name,execution_price,max_drawdown,annual_volatility,drawdown_days,risk_score,price_factor_score,industry_ai_score,macro_external_score,composite_score,trend_strength_score,target_weight,target_value,shares,market_value,buy_commission,buy_tax,total_buy_cost,future_sell_tax_estimate,current_price,current_market_value,unrealized_pnl,unrealized_pnl_pct,remaining_cash
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,0050,元大台灣50,107.6000,0.75276968,0.78686085,232,-1.31856126,-1.82146207,-0.45342974,-0.74884393,-1.31856126,-0.19798965,0.00000000,0.00,49,5272.40,7.41,0.00,5279.81,5.35,104.2500,5108.25,-171.56,-0.032494,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,0056,元大高股息,52.9108,0.07973510,0.17079741,56,-0.21179495,0.03470979,-0.75603941,-0.29073979,-0.21179495,-0.11242205,0.07074051,26527.69,154,8148.26,11.06,0.00,8159.32,11.81,52.4500,8077.30,-82.02,-0.010052,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00878,國泰永續高股息,33.2500,0.09375000,0.16854130,51,-0.20277909,0.05701178,-0.75195834,-0.32664387,-0.20277909,0.06818343,0.07658762,28720.36,492,16359.00,23.25,0.00,16382.25,16.50,33.4000,16432.80,50.55,0.003086,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,006208,富邦台50,249.2000,0.10585106,0.23699975,42,-0.00794322,0.34354304,-0.62143744,-0.39139791,-0.00794322,-0.20802103,0.06438456,24144.21,8,1993.60,2.84,0.00,1996.44,1.98,238.7000,1909.60,-86.84,-0.043497,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00713,元大台灣高息低波,59.7500,0.06203704,0.09992715,176,-0.40865851,-0.15048405,-1.19135591,-0.13686067,-0.40865851,-0.81738492,0.08266410,30999.04,406,24258.50,35.00,0.00,24293.50,24.00,61.2500,24867.50,574.00,0.023628,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00881,國泰台灣5G+,56.3000,0.09736361,0.26783416,39,0.37525145,0.41533598,0.97430192,-0.78350411,0.37525145,0.02474640,0.07821124,29329.22,13,731.90,1.05,0.00,732.95,0.74,53.2000,691.60,-41.35,-0.056416,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00919,群益台灣精選高息,30.4392,0.10487805,0.15516915,151,-0.24569663,-0.05442733,-0.73282226,-0.19889778,-0.24569663,-0.20435800,0.07223010,27086.29,556,16924.22,23.98,0.00,16948.20,20.98,30.0300,16696.68,-251.52,-0.014841,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2330,台積電,2422.0000,0.12655087,0.29553640,37,0.84858792,0.70329566,1.42111097,0.47555191,0.84858792,-0.51171871,0.08674158,32528.09,7,16954.00,23.80,0.00,16977.80,51.10,2380.0000,16660.00,-317.80,-0.018719,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2317,鴻海,,0.28435115,0.35697376,135,0.13413745,-0.05503092,0.73169205,-0.10511335,0.13413745,0.21148995,0.04948088,18555.33,,,,,,,,,,,358207.44
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2454,聯發科,,0.25407166,0.51109525,86,0.81085021,0.65942218,1.64960086,0.01864458,0.81085021,2.55785412,0.05907224,22152.09,,,,,,,,,,,358207.44
