build_date,analysis_start_date,analysis_end_date,execution_date,execution_price_status,method,lookback_years,invest_ratio,cash_reserve,symbol,name,execution_price,max_drawdown,annual_volatility,drawdown_days,risk_score,price_factor_score,industry_ai_score,macro_external_score,composite_score,trend_strength_score,target_weight,target_value,shares,market_value,buy_commission,buy_tax,total_buy_cost,future_sell_tax_estimate,current_price,current_market_value,unrealized_pnl,unrealized_pnl_pct,remaining_cash
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,0050,元大台灣50,107.6000,0.75276968,0.78686085,232,-1.32058178,-1.82146207,-0.45342974,-0.76231401,-1.32058178,-0.19798965,0.00000000,0.00,36,3873.60,5.44,0.00,3879.04,3.93,104.4000,3758.40,-120.64,-0.031100,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,0056,元大高股息,52.9108,0.07973510,0.17079741,56,-0.21332412,0.03470979,-0.75603941,-0.30093425,-0.21332412,-0.11242205,0.07102765,26635.37,154,8148.26,11.06,0.00,8159.32,11.81,52.5500,8092.70,-66.62,-0.008165,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00878,國泰永續高股息,33.2500,0.09375000,0.16854130,51,-0.20444790,0.05701178,-0.75195834,-0.33776923,-0.20444790,0.06818343,0.07629272,28609.77,492,16359.00,23.25,0.00,16382.25,16.50,32.6400,16058.88,-323.37,-0.019739,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,006208,富邦台50,249.2000,0.10585106,0.23699975,42,-0.00924336,0.34354304,-0.62143744,-0.40006551,-0.00924336,-0.20802103,0.06464241,24240.90,2,498.40,0.71,0.00,499.11,0.49,239.4500,478.90,-20.21,-0.040492,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00713,元大台灣高息低波,59.7500,0.06203704,0.09992715,176,-0.41044848,-0.15048405,-1.19135591,-0.14879381,-0.41044848,-0.81738492,0.08306230,31148.36,406,24258.50,35.00,0.00,24293.50,24.00,61.6500,25029.90,736.40,0.030313,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00881,國泰台灣5G+,56.3000,0.09736361,0.26783416,39,0.38865468,0.41533598,0.97430192,-0.69414929,0.38865468,0.02474640,0.07745429,29045.36,2,112.60,0.17,0.00,112.77,0.11,48.5000,97.00,-15.77,-0.139842,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00919,群益台灣精選高息,30.4392,0.10487805,0.15516915,151,-0.24616886,-0.05442733,-0.73282226,-0.20204595,-0.24616886,-0.20435800,0.07253921,27202.20,556,16924.22,23.98,0.00,16948.20,20.98,31.0700,17274.92,326.72,0.019278,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2330,台積電,2422.0000,0.12655087,0.29553640,37,0.84658934,0.70329566,1.42111097,0.46222802,0.84658934,-0.51171871,0.08716762,32687.86,7,16954.00,23.80,0.00,16977.80,51.10,2400.0000,16800.00,-177.80,-0.010472,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2317,鴻海,,0.28435115,0.35697376,135,0.13272569,-0.05503092,0.73169205,-0.11452511,0.13272569,0.21148995,0.04965925,18622.22,,,,,,,,,,,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2454,聯發科,,0.25407166,0.51109525,86,0.80117903,0.65942218,1.64960086,-0.04582995,0.80117903,2.55785412,0.05886868,22075.75,,,,,,,,,,,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2303,聯電,,0.29658793,0.47528171,132,0.50393728,0.29904981,1.27168440,0.04390865,0.50393728,2.14994262,0.05685017,21318.81,,,,,,,,,,,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2881,富邦金,114.0000,0.12423625,0.21874381,93,0.09474012,0.04332224,-0.13965021,0.69106224,0.09474012,-0.27876806,0.06973740,26151.53,76,8664.00,12.51,0.00,8676.51,25.97,141.5000,10754.00,2077.49,0.239438,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2882,國泰金,91.5000,0.12170640,0.25425880,108,0.04253134,0.03629101,-0.17944791,0.43745808,0.04253134,-0.49142864,0.06099962,22874.86,124,11346.00,16.26,0.00,11362.26,34.05,103.0000,12772.00,1409.74,0.124072,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2412,中華電,143.0000,0.06569343,0.12393957,124,-0.01183441,-0.05327754,-0.64553919,1.21011274,-0.01183441,-1.07565281,0.14209965,53287.37,6,858.00,1.22,0.00,859.22,2.57,136.5000,819.00,-40.22,-0.046810,383595.79
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,1301,台塑,52.5000,0.17889908,0.42287857,70,-0.39430858,-0.45729956,-0.57670978,0.16165737,-0.39430858,-1.11447265,0.02959904,11099.64,157,8242.50,11.73,0.00,8254.23,24.58,57.8000,9074.60,820.37,0.099388,383595.79
