mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-08-14,close,2026-08-14,2412,中華電,64,143.0,9165.02,135.0,shioaji_kbars_close,8640.0,-525.0200000000004,-0.05728519959585472,824.0,824.0,111240000.0,ready
2026-08-14,close,2026-08-14,2881,富邦金,76,114.0,8676.51,129.5,shioaji_kbars_close,9842.0,1165.4899999999998,0.1343270508533961,1490.0,1490.0,192955000.0,ready
2026-08-14,close,2026-08-14,00713,元大台灣高息低波,406,59.75,24293.5,60.85,shioaji_kbars_close,24705.100000000002,411.6000000000022,0.01694280363060087,63.0,63.0,3833550.0,ready
2026-08-14,close,2026-08-14,006208,富邦台50,8,249.2,1996.44,243.45,shioaji_kbars_close,1947.6,-48.840000000000146,-0.0244635451102964,22.0,22.0,5355900.0,ready
2026-08-14,close,2026-08-14,2330,台積電,7,2422.0,16977.8,2395.0,shioaji_kbars_close,16765.0,-212.79999999999927,-0.012534015007833717,4615.0,4615.0,11052925000.0,ready
2026-08-14,close,2026-08-14,2882,國泰金,124,91.5,11362.26,101.5,shioaji_kbars_close,12586.0,1223.7399999999998,0.107702164886211,2145.0,2145.0,217717500.0,ready
2026-08-14,close,2026-08-14,00878,國泰永續高股息,492,33.25,16382.25,33.87,shioaji_kbars_close,16664.039999999997,281.78999999999724,0.017200933937645758,859.0,859.0,29094330.0,ready
2026-08-14,close,2026-08-14,0056,元大高股息,154,52.9108,8159.32,53.4,shioaji_kbars_close,8223.6,64.28000000000065,0.007878107489349683,543.0,543.0,28996200.0,ready
2026-08-14,close,2026-08-14,00919,群益台灣精選高息,556,30.4392,16948.2,30.57,shioaji_kbars_close,16996.920000000002,48.720000000001164,0.0028746415548554513,1397.0,1397.0,42706290.0,ready
2026-08-14,close,2026-08-14,00881,國泰台灣5G+,13,56.3,732.95,54.8,shioaji_kbars_close,712.4,-20.550000000000068,-0.028037383177570183,4162.0,4162.0,228077600.0,ready
2026-08-14,close,2026-08-14,2303,聯電,1,135.0,135.19,121.0,shioaji_kbars_close,121.0,-14.189999999999998,-0.1049633848657445,4880.0,4880.0,590480000.0,ready
2026-08-14,close,2026-08-14,1301,台塑,157,52.5,8254.23,60.0,shioaji_kbars_close,9420.0,1165.7700000000004,0.141233040513773,1837.0,1837.0,110220000.0,ready
2026-08-14,close,2026-08-14,0050,元大台灣50,49,107.6,5279.81,106.4,shioaji_kbars_close,5213.6,-66.21000000000004,-0.012540223985332812,824.0,824.0,87673600.0,ready
