execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-09-17,2881,富邦金,114.0000,7,798.00,1.15,0.00,799.15,2.39,simulated_position
2026-09-17,00713,元大台灣高息低波,59.7500,406,24258.50,35.00,0.00,24293.50,24.00,simulated_position
2026-09-17,006208,富邦台50,249.2000,2,498.40,0.71,0.00,499.11,0.49,simulated_position
2026-09-17,2330,台積電,2422.0000,7,16954.00,23.80,0.00,16977.80,51.10,simulated_position
2026-09-17,2882,國泰金,91.5000,40,3660.00,5.25,0.00,3665.25,10.99,simulated_position
2026-09-17,00878,國泰永續高股息,33.2500,492,16359.00,23.25,0.00,16382.25,16.50,simulated_position
2026-09-17,0056,元大高股息,52.9108,154,8148.26,11.06,0.00,8159.32,11.81,simulated_position
2026-09-17,00919,群益台灣精選高息,30.4392,444,13515.02,19.15,0.00,13534.17,16.75,simulated_position
2026-09-17,1301,台塑,52.5000,125,6562.50,9.34,0.00,6571.84,19.57,simulated_position
2026-09-17,0050,元大台灣50,107.6000,36,3873.60,5.44,0.00,3879.04,3.93,simulated_position
