execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-07-29,2412,中華電,143.0000,490,70070.00,99.65,0.00,70169.65,210.54,simulated_position
2026-07-29,2881,富邦金,114.0000,76,8664.00,12.51,0.00,8676.51,25.97,simulated_position
2026-07-29,00713,元大台灣高息低波,59.7500,406,24258.50,35.00,0.00,24293.50,24.00,simulated_position
2026-07-29,006208,富邦台50,249.2000,21,5233.20,7.45,0.00,5240.65,5.20,simulated_position
2026-07-29,2330,台積電,2422.0000,10,24220.00,34.00,0.00,24254.00,73.00,simulated_position
2026-07-29,2882,國泰金,91.5000,124,11346.00,16.26,0.00,11362.26,34.05,simulated_position
2026-07-29,00878,國泰永續高股息,33.2500,656,21812.00,31.00,0.00,21843.00,22.00,simulated_position
2026-07-29,0056,元大高股息,53.1288,239,12697.77,17.95,0.00,12715.73,15.71,simulated_position
2026-07-29,00919,群益台灣精選高息,30.4392,742,22585.92,32.00,0.00,22617.92,28.00,simulated_position
2026-07-29,00881,國泰台灣5G+,56.3000,81,4560.30,6.49,0.00,4566.79,4.64,simulated_position
2026-07-29,2303,聯電,135.0000,47,6345.00,9.12,0.00,6354.12,18.94,simulated_position
2026-07-29,1301,台塑,52.5000,157,8242.50,11.73,0.00,8254.23,24.58,simulated_position
2026-07-29,0050,元大台灣50,107.6000,66,7101.60,9.98,0.00,7111.58,7.21,simulated_position
